nombre;etiqueta_raiz;videos;Descargado
a;Grupo Estático;listo;si
A veces;Grupo Dinámico Bimanual Asimétrico;listo;si
Abandonar;Grupo Dinámico Bimanual Simétrico;listo;si
Abrazar;Grupo Dinámico Bimanual Simétrico;listo;si
Abuelo;Grupo Dinámico Unimanual;listo;si
Aburrido;Grupo Dinámico Unimanual;listo;si
Aceptar;Grupo Dinámico Bimanual Simétrico;listo;si
Acompañar;Grupo Dinámico Bimanual Simétrico;listo;si
Acostumbrar;Grupo Dinámico Unimanual;listo;si
Adiós;Grupo Dinámico Unimanual;listo;si
Agregar;Grupo Dinámico Bimanual Asimétrico;listo;si
Algunos;Grupo Dinámico Bimanual Asimétrico;listo;si
Allá;Grupo Dinámico Unimanual;listo;si
Amigo;Grupo Dinámico Bimanual Simétrico;listo;si
Aplazar;Grupo Dinámico Bimanual Simétrico;listo;si
Apoyar;Grupo Dinámico Bimanual Asimétrico;listo;si
Aprender;Grupo Dinámico Bimanual Asimétrico;listo;si
Aprovechar;Grupo Dinámico Unimanual;listo;si
Aquí;Grupo Dinámico Unimanual;listo;si
Arreglar;Grupo Dinámico Bimanual Asimétrico;listo;si
Asistir;Grupo Dinámico Bimanual Asimétrico;listo;si
Ayer;Grupo Dinámico Unimanual;listo;si
Ayudar;Grupo Dinámico Bimanual Asimétrico;listo;si
b;Grupo Estático;listo;si
Bien;Grupo Dinámico Unimanual;listo;si
Buscar;Grupo Dinámico Unimanual;listo;si
c;Grupo Estático;listo;si
Caminar;Grupo Dinámico Unimanual;listo;si
Cansancio;Grupo Dinámico Bimanual Simétrico;listo;si
Castigar;Grupo Dinámico Bimanual Asimétrico;listo;si
Cerca;Grupo Dinámico Bimanual Simétrico;listo;si
Cirugía;Grupo Dinámico Bimanual Asimétrico;listo;si
Cómo;Grupo Dinámico Bimanual Simétrico;listo;si
Cómo estás;Grupo Dinámico Bimanual Simétrico;listo;si
Confundido;Grupo Dinámico Bimanual Simétrico;listo;si
Conocer;Grupo Dinámico Bimanual Asimétrico;listo;si
Contento;Grupo Dinámico Bimanual Asimétrico;listo;si
Continuar;Grupo Dinámico Bimanual Asimétrico;listo;si
Creer;Grupo Dinámico Bimanual Asimétrico;listo;si
Cuando;Grupo Dinámico Unimanual;listo;si
Cuál;Grupo Dinámico Bimanual Simétrico;listo;si
Cuánto;Grupo Dinámico Bimanual Simétrico;listo;si
Cuidar;Grupo Dinámico Bimanual Simétrico;listo;si
d;Grupo Estático;listo;si
Decidir;Grupo Dinámico Unimanual;listo;si
Decir;Grupo Dinámico Unimanual;listo;si
Defender;Grupo Dinámico Bimanual Asimétrico;listo;si
Depender;Grupo Dinámico Bimanual Asimétrico;listo;si
