label,path,label_predicha,prob
a,dataset_videos_evaluate\a\a_d8ae81e2-1d6c-4bf3-a0df-3e682dcf3406.mp4,e,0.3962
e,dataset_videos_evaluate\e\e_78b081d4-1bd6-4874-abda-5c2f774d6c61.mp4,l,0.7970
e,dataset_videos_evaluate\e\e_87177e84-ef38-4682-8a8f-cf65e9a4fdc6.mp4,e,0.3985
e,dataset_videos_evaluate\e\e_ae06cd4c-a37e-42dd-9c1c-ba647119eee9.mp4,b,0.4306
e,dataset_videos_evaluate\e\e_dbceb327-a4d7-42cc-adda-aef209de8b96.mp4,b,0.4306
i,dataset_videos_evaluate\i\i_c1ec32a1-112f-4ef8-bb01-d9131cdba27d.mp4,r,0.4141
t,dataset_videos_evaluate\t\t_10a4a9c4-7981-475a-af37-d2620c714f39.mp4,c,0.4970
t,dataset_videos_evaluate\t\t_2f513fb3-c35b-4f9b-86fb-395af69dff4d.mp4,c,0.7110
t,dataset_videos_evaluate\t\t_94d6a823-76cc-4314-ac6b-ae7e1b82960f.mp4,c,0.7661
v,dataset_videos_evaluate\v\v_a4fc1a6f-5fd5-40cd-8a80-3ad161211558.mp4,d,0.1883
