video,path,win_idx,start_frame,end_frame,center_frame,approx_start_s,n_frames,label_predicha,prob,passed_conf,kept_nms
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,0,0,45,22,0.00,45,Por favor,0.7907,1,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,1,10,55,32,0.33,45,Por favor,0.9462,1,1
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,2,20,65,42,0.67,45,Por favor,0.7110,1,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,3,30,75,52,1.00,45,Por favor,0.7760,1,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,4,40,85,62,1.33,45,Lo siento,0.6750,1,1
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,5,50,95,72,1.67,45,g,0.6301,0,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,6,60,105,82,2.00,45,Amigo,0.3320,0,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,7,70,115,92,2.33,45,Mucho,0.6440,0,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,8,80,125,102,2.67,45,Mucho,0.9293,1,1
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,9,90,135,112,3.00,45,Mucho,0.7019,1,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,10,100,145,122,3.33,45,Aceptar,0.5118,0,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,11,110,155,132,3.67,45,Radiografía,0.7616,1,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,12,120,165,142,4.00,45,Mucho,0.8611,1,1
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,13,130,175,152,4.33,45,Mucho,0.7158,1,0
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,14,135,180,157,4.50,45,Hablar,0.4706,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,0,0,45,22,0.00,45,g,0.9672,1,1
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,1,10,55,32,0.33,45,g,0.6528,1,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,2,20,65,42,0.67,45,Por favor,0.5774,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,3,30,75,52,1.00,45,Por favor,0.3682,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,4,40,85,62,1.33,45,Aburrido,0.6338,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,5,50,95,72,1.67,45,Aburrido,0.8242,1,1
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,6,60,105,82,2.00,45,Aburrido,0.5767,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,7,70,115,92,2.33,45,g,0.7648,1,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,8,80,125,102,2.67,45,ñ,0.4740,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,9,90,135,112,3.00,45,Mucho,0.2898,0,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,10,100,145,122,3.33,45,Mucho,0.6552,1,0
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,11,110,155,132,3.67,45,Mucho,0.8416,1,1
