video,path,segment_idx,start_frame,end_frame,approx_start_s,n_frames,label_predicha,prob
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,0,0,45,0.00,45,Por favor,0.6024
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,1,45,90,1.50,45,Amigo,0.7068
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,2,90,135,3.00,45,Aceptar,0.9231
sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,dataset_grup_sign\sign-video-to-text_0db371b2-a749-47fd-ad7b-91661dab7c09.mp4,3,135,180,4.50,45,Hablar,0.7232
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,0,0,45,0.00,45,Nosotros,0.8490
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,1,45,90,1.50,45,Nosotros,0.7329
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,2,90,135,3.00,45,Aceptar,0.5456
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,3,135,156,4.50,21,Lo siento,0.8628
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,0,0,45,0.00,45,Noche,0.9540
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,1,45,90,1.50,45,Noche,0.8331
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,2,90,135,3.00,45,Noche,0.7941
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,3,135,180,4.50,45,Noche,0.5604
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,4,180,225,6.00,45,Noche,0.9575
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,5,225,270,7.50,45,Noche,0.5450
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,6,270,300,9.00,30,Conocer,0.4500
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,0,0,45,0.00,45,Doler,0.2473
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,1,45,90,1.50,45,e,0.4814
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,2,90,135,3.00,45,Contento,0.5001
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,3,135,180,4.50,45,Cómo estás,0.9746
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,4,180,225,6.00,45,Pasear,0.8620
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,5,225,256,7.50,31,Lo siento,0.9452
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,0,0,45,0.00,45,h,0.6444
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,1,45,90,1.50,45,No hay,0.3348
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,2,90,135,3.00,45,Aceptar,0.8316
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,3,135,180,4.50,45,Cómo estás,0.9780
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,0,0,45,0.00,45,r,0.7600
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,1,45,90,1.50,45,Conocer,0.7052
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,2,90,135,3.00,45,g,0.9839
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,3,135,180,4.50,45,g,0.9539
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,0,0,45,0.00,45,Por favor,0.8949
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,1,45,90,1.50,45,No hay,0.2090
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,2,90,135,3.00,45,Aceptar,0.9179
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,3,135,180,4.50,45,Aceptar,0.9644
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,4,180,225,6.00,45,Aceptar,0.8191
sign-video-to-text_6fe6b912-389f-4ff3-b335-b6cd2660cc36.mp4,dataset_grup_sign\sign-video-to-text_6fe6b912-389f-4ff3-b335-b6cd2660cc36.mp4,0,0,45,0.00,45,A veces,0.6957
sign-video-to-text_6fe6b912-389f-4ff3-b335-b6cd2660cc36.mp4,dataset_grup_sign\sign-video-to-text_6fe6b912-389f-4ff3-b335-b6cd2660cc36.mp4,1,45,90,1.50,45,A veces,0.5874
sign-video-to-text_6fe6b912-389f-4ff3-b335-b6cd2660cc36.mp4,dataset_grup_sign\sign-video-to-text_6fe6b912-389f-4ff3-b335-b6cd2660cc36.mp4,2,90,106,3.00,16,Lo siento,0.4554
sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,dataset_grup_sign\sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,0,0,45,0.00,45,Aprender,0.9945
sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,dataset_grup_sign\sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,1,45,90,1.50,45,Buscar,0.9575
sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,dataset_grup_sign\sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,2,90,135,3.00,45,No hay,0.9964
sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,dataset_grup_sign\sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,3,135,180,4.50,45,Nosotros,0.9074
sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,dataset_grup_sign\sign-video-to-text_72351995-77c3-45c4-b7cd-8826da5dd9bf.mp4,4,180,198,6.00,18,Lo siento,0.6358
